,Benchmark,Score,jdk,machine,benchmark,iteration,config
62,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.959,19,MAVX2,canneal,3,indexInRange
63,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.977,19,MAVX2,canneal,4,indexInRange
64,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.959,19,MAVX2,canneal,5,indexInRange
65,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.977,19,MAVX2,canneal,6,indexInRange
66,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.951,19,MAVX2,canneal,7,indexInRange
67,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.97,19,MAVX2,canneal,8,indexInRange
68,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.954,19,MAVX2,canneal,9,indexInRange
69,jvbench.canneal.CannealPatternBenchmark.indexInRange,5.969,19,MAVX2,canneal,10,indexInRange
70,jvbench.axpy.AxpyPatternBenchmark.fma,0.063,19,MAVX2,axpy,1,fma
71,jvbench.axpy.AxpyPatternBenchmark.fma,0.064,19,MAVX2,axpy,2,fma
72,jvbench.axpy.AxpyPatternBenchmark.fma,0.064,19,MAVX2,axpy,3,fma
73,jvbench.axpy.AxpyPatternBenchmark.fma,0.063,19,MAVX2,axpy,4,fma
74,jvbench.axpy.AxpyPatternBenchmark.fma,0.063,19,MAVX2,axpy,5,fma
75,jvbench.axpy.AxpyPatternBenchmark.fma,0.064,19,MAVX2,axpy,6,fma
76,jvbench.axpy.AxpyPatternBenchmark.fma,0.064,19,MAVX2,axpy,7,fma
77,jvbench.axpy.AxpyPatternBenchmark.fma,0.064,19,MAVX2,axpy,8,fma
78,jvbench.axpy.AxpyPatternBenchmark.fma,0.063,19,MAVX2,axpy,9,fma
79,jvbench.axpy.AxpyPatternBenchmark.fma,0.063,19,MAVX2,axpy,10,fma
80,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.063,19,MAVX2,axpy,1,fmaScalar
81,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.062,19,MAVX2,axpy,2,fmaScalar
82,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.063,19,MAVX2,axpy,3,fmaScalar
83,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.063,19,MAVX2,axpy,4,fmaScalar
84,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.063,19,MAVX2,axpy,5,fmaScalar
85,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.062,19,MAVX2,axpy,6,fmaScalar
86,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.062,19,MAVX2,axpy,7,fmaScalar
87,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.062,19,MAVX2,axpy,8,fmaScalar
88,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.063,19,MAVX2,axpy,9,fmaScalar
89,jvbench.axpy.AxpyPatternBenchmark.fmaScalar,0.063,19,MAVX2,axpy,10,fmaScalar
90,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.299,19,MAVX2,axpy,1,indexInRange
91,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.302,19,MAVX2,axpy,2,indexInRange
92,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.302,19,MAVX2,axpy,3,indexInRange
93,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.299,19,MAVX2,axpy,4,indexInRange
94,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.299,19,MAVX2,axpy,5,indexInRange
95,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.32,19,MAVX2,axpy,6,indexInRange
96,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.299,19,MAVX2,axpy,7,indexInRange
97,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.299,19,MAVX2,axpy,8,indexInRange
98,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.299,19,MAVX2,axpy,9,indexInRange
99,jvbench.axpy.AxpyPatternBenchmark.indexInRange,0.299,19,MAVX2,axpy,10,indexInRange
100,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,72.079,19,MAVX2,streamcluster,1,pow
101,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,71.878,19,MAVX2,streamcluster,2,pow
102,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,72.931,19,MAVX2,streamcluster,3,pow
103,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,71.992,19,MAVX2,streamcluster,4,pow
104,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,73.097,19,MAVX2,streamcluster,5,pow
105,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,72.002,19,MAVX2,streamcluster,6,pow
106,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,73.124,19,MAVX2,streamcluster,7,pow
107,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,73.08,19,MAVX2,streamcluster,8,pow
108,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,72.086,19,MAVX2,streamcluster,9,pow
109,jvbench.streamcluster.StreamclusterPatternBenchmark.pow,73.04,19,MAVX2,streamcluster,10,pow
110,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.809,19,MAVX2,streamcluster,1,indexInRange
111,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.808,19,MAVX2,streamcluster,2,indexInRange
112,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.785,19,MAVX2,streamcluster,3,indexInRange
113,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.581,19,MAVX2,streamcluster,4,indexInRange
114,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.736,19,MAVX2,streamcluster,5,indexInRange
115,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.601,19,MAVX2,streamcluster,6,indexInRange
116,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.662,19,MAVX2,streamcluster,7,indexInRange
117,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.788,19,MAVX2,streamcluster,8,indexInRange
118,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.662,19,MAVX2,streamcluster,9,indexInRange
119,jvbench.streamcluster.StreamclusterPatternBenchmark.indexInRange,9.626,19,MAVX2,streamcluster,10,indexInRange
120,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.976,19,MAVX2,swaptions,1,indexInRange
121,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.972,19,MAVX2,swaptions,2,indexInRange
122,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.995,19,MAVX2,swaptions,3,indexInRange
123,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.962,19,MAVX2,swaptions,4,indexInRange
124,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.954,19,MAVX2,swaptions,5,indexInRange
125,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.949,19,MAVX2,swaptions,6,indexInRange
126,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.97,19,MAVX2,swaptions,7,indexInRange
127,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.955,19,MAVX2,swaptions,8,indexInRange
128,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.966,19,MAVX2,swaptions,9,indexInRange
129,jvbench.swaptions.SwaptionsPatternBenchmark.indexInRange,4.953,19,MAVX2,swaptions,10,indexInRange
130,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.729,19,MAVX2,swaptions,1,pow
131,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.726,19,MAVX2,swaptions,2,pow
132,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.721,19,MAVX2,swaptions,3,pow
133,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.714,19,MAVX2,swaptions,4,pow
134,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.744,19,MAVX2,swaptions,5,pow
135,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.736,19,MAVX2,swaptions,6,pow
136,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.716,19,MAVX2,swaptions,7,pow
137,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.735,19,MAVX2,swaptions,8,pow
138,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.725,19,MAVX2,swaptions,9,pow
139,jvbench.swaptions.SwaptionsPatternBenchmark.pow,4.739,19,MAVX2,swaptions,10,pow
140,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.786,19,MAVX2,blackscholes,1,pow
141,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.79,19,MAVX2,blackscholes,2,pow
142,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.782,19,MAVX2,blackscholes,3,pow
143,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.782,19,MAVX2,blackscholes,4,pow
144,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.785,19,MAVX2,blackscholes,5,pow
145,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.783,19,MAVX2,blackscholes,6,pow
146,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.802,19,MAVX2,blackscholes,7,pow
147,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.783,19,MAVX2,blackscholes,8,pow
148,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.784,19,MAVX2,blackscholes,9,pow
149,jvbench.blackscholes.BlackscholesPatternBenchmark.pow,2.777,19,MAVX2,blackscholes,10,pow
150,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.676,19,MAVX2,blackscholes,1,indexInRange
151,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.67,19,MAVX2,blackscholes,2,indexInRange
152,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.673,19,MAVX2,blackscholes,3,indexInRange
153,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.669,19,MAVX2,blackscholes,4,indexInRange
154,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.673,19,MAVX2,blackscholes,5,indexInRange
155,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.669,19,MAVX2,blackscholes,6,indexInRange
156,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.672,19,MAVX2,blackscholes,7,indexInRange
157,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.669,19,MAVX2,blackscholes,8,indexInRange
158,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.669,19,MAVX2,blackscholes,9,indexInRange
159,jvbench.blackscholes.BlackscholesPatternBenchmark.indexInRange,0.671,19,MAVX2,blackscholes,10,indexInRange
160,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.839,19,MAVX2,lavaMD,1,fma
161,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.838,19,MAVX2,lavaMD,2,fma
162,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.84,19,MAVX2,lavaMD,3,fma
163,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.861,19,MAVX2,lavaMD,4,fma
164,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.835,19,MAVX2,lavaMD,5,fma
165,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.835,19,MAVX2,lavaMD,6,fma
166,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.838,19,MAVX2,lavaMD,7,fma
167,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.836,19,MAVX2,lavaMD,8,fma
168,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.834,19,MAVX2,lavaMD,9,fma
169,jvbench.lavaMD.LavaMDPatternBenchmark.fma,0.834,19,MAVX2,lavaMD,10,fma
170,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.842,19,MAVX2,lavaMD,1,fmaScalar
171,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.843,19,MAVX2,lavaMD,2,fmaScalar
172,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.844,19,MAVX2,lavaMD,3,fmaScalar
173,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.85,19,MAVX2,lavaMD,4,fmaScalar
174,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.848,19,MAVX2,lavaMD,5,fmaScalar
175,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.839,19,MAVX2,lavaMD,6,fmaScalar
176,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.839,19,MAVX2,lavaMD,7,fmaScalar
177,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.84,19,MAVX2,lavaMD,8,fmaScalar
178,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.84,19,MAVX2,lavaMD,9,fmaScalar
179,jvbench.lavaMD.LavaMDPatternBenchmark.fmaScalar,9.84,19,MAVX2,lavaMD,10,fmaScalar
180,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.84,19,MAVX2,lavaMD,1,indexInRange
181,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.838,19,MAVX2,lavaMD,2,indexInRange
182,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.841,19,MAVX2,lavaMD,3,indexInRange
183,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.843,19,MAVX2,lavaMD,4,indexInRange
184,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.841,19,MAVX2,lavaMD,5,indexInRange
185,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.837,19,MAVX2,lavaMD,6,indexInRange
186,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.838,19,MAVX2,lavaMD,7,indexInRange
187,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.842,19,MAVX2,lavaMD,8,indexInRange
188,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.84,19,MAVX2,lavaMD,9,indexInRange
189,jvbench.lavaMD.LavaMDPatternBenchmark.indexInRange,0.838,19,MAVX2,lavaMD,10,indexInRange
190,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.077,19,MAVX2,pathfinder,1,indexInRange
191,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.065,19,MAVX2,pathfinder,2,indexInRange
192,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.074,19,MAVX2,pathfinder,3,indexInRange
193,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.061,19,MAVX2,pathfinder,4,indexInRange
194,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.077,19,MAVX2,pathfinder,5,indexInRange
195,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.084,19,MAVX2,pathfinder,6,indexInRange
196,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.144,19,MAVX2,pathfinder,7,indexInRange
197,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.081,19,MAVX2,pathfinder,8,indexInRange
198,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.06,19,MAVX2,pathfinder,9,indexInRange
199,jvbench.pathfinder.PathfinderPatternBenchmark.indexInRange,29.077,19,MAVX2,pathfinder,10,indexInRange
200,jvbench.somier.SomierPatternBenchmark.indexInRange,7.686,19,MAVX2,somier,1,indexInRange
201,jvbench.somier.SomierPatternBenchmark.indexInRange,7.647,19,MAVX2,somier,2,indexInRange
202,jvbench.somier.SomierPatternBenchmark.indexInRange,7.653,19,MAVX2,somier,3,indexInRange
203,jvbench.somier.SomierPatternBenchmark.indexInRange,7.644,19,MAVX2,somier,4,indexInRange
204,jvbench.somier.SomierPatternBenchmark.indexInRange,7.633,19,MAVX2,somier,5,indexInRange
205,jvbench.somier.SomierPatternBenchmark.indexInRange,7.643,19,MAVX2,somier,6,indexInRange
206,jvbench.somier.SomierPatternBenchmark.indexInRange,7.632,19,MAVX2,somier,7,indexInRange
207,jvbench.somier.SomierPatternBenchmark.indexInRange,7.653,19,MAVX2,somier,8,indexInRange
208,jvbench.somier.SomierPatternBenchmark.indexInRange,7.602,19,MAVX2,somier,9,indexInRange
209,jvbench.somier.SomierPatternBenchmark.indexInRange,7.616,19,MAVX2,somier,10,indexInRange
210,jvbench.somier.SomierPatternBenchmark.fma,1.162,19,MAVX2,somier,1,fma
211,jvbench.somier.SomierPatternBenchmark.fma,1.154,19,MAVX2,somier,2,fma
212,jvbench.somier.SomierPatternBenchmark.fma,1.163,19,MAVX2,somier,3,fma
213,jvbench.somier.SomierPatternBenchmark.fma,1.184,19,MAVX2,somier,4,fma
214,jvbench.somier.SomierPatternBenchmark.fma,1.193,19,MAVX2,somier,5,fma
215,jvbench.somier.SomierPatternBenchmark.fma,1.15,19,MAVX2,somier,6,fma
216,jvbench.somier.SomierPatternBenchmark.fma,1.147,19,MAVX2,somier,7,fma
217,jvbench.somier.SomierPatternBenchmark.fma,1.146,19,MAVX2,somier,8,fma
218,jvbench.somier.SomierPatternBenchmark.fma,1.16,19,MAVX2,somier,9,fma
219,jvbench.somier.SomierPatternBenchmark.fma,1.177,19,MAVX2,somier,10,fma
220,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.402,19,MAVX2,somier,1,fmaScalar
221,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.389,19,MAVX2,somier,2,fmaScalar
222,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.396,19,MAVX2,somier,3,fmaScalar
223,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.395,19,MAVX2,somier,4,fmaScalar
224,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.4,19,MAVX2,somier,5,fmaScalar
225,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.39,19,MAVX2,somier,6,fmaScalar
226,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.386,19,MAVX2,somier,7,fmaScalar
227,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.393,19,MAVX2,somier,8,fmaScalar
228,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.386,19,MAVX2,somier,9,fmaScalar
229,jvbench.somier.SomierPatternBenchmark.fmaScalar,8.391,19,MAVX2,somier,10,fmaScalar
230,jvbench.somier.SomierPatternBenchmark.pow,8.815,19,MAVX2,somier,1,pow
231,jvbench.somier.SomierPatternBenchmark.pow,8.82,19,MAVX2,somier,2,pow
232,jvbench.somier.SomierPatternBenchmark.pow,8.83,19,MAVX2,somier,3,pow
233,jvbench.somier.SomierPatternBenchmark.pow,8.772,19,MAVX2,somier,4,pow
234,jvbench.somier.SomierPatternBenchmark.pow,8.769,19,MAVX2,somier,5,pow
235,jvbench.somier.SomierPatternBenchmark.pow,8.801,19,MAVX2,somier,6,pow
236,jvbench.somier.SomierPatternBenchmark.pow,8.822,19,MAVX2,somier,7,pow
237,jvbench.somier.SomierPatternBenchmark.pow,8.811,19,MAVX2,somier,8,pow
238,jvbench.somier.SomierPatternBenchmark.pow,8.808,19,MAVX2,somier,9,pow
239,jvbench.somier.SomierPatternBenchmark.pow,8.81,19,MAVX2,somier,10,pow
240,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.044,19,MAVX2,particlefilter,1,indexInRange
241,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.037,19,MAVX2,particlefilter,2,indexInRange
242,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.034,19,MAVX2,particlefilter,3,indexInRange
243,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.05,19,MAVX2,particlefilter,4,indexInRange
244,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.034,19,MAVX2,particlefilter,5,indexInRange
245,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.039,19,MAVX2,particlefilter,6,indexInRange
246,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.033,19,MAVX2,particlefilter,7,indexInRange
247,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.042,19,MAVX2,particlefilter,8,indexInRange
248,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.039,19,MAVX2,particlefilter,9,indexInRange
249,jvbench.particlefilter.ParticlefilterPatternBenchmark.indexInRange,30.054,19,MAVX2,particlefilter,10,indexInRange
250,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,60.785,19,MAVX2,jacobi2d,1,indexInRange
251,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,60.827,19,MAVX2,jacobi2d,2,indexInRange
252,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,60.802,19,MAVX2,jacobi2d,3,indexInRange
253,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,60.796,19,MAVX2,jacobi2d,4,indexInRange
254,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,60.795,19,MAVX2,jacobi2d,5,indexInRange
255,jvbench.jacobi2d.Jacobi2dPatternBenchmark.indexInRange,60.794,19,MAVX2,jacobi2d,6,indexInRange
