"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.scalarTANH","ss",1,10,1.951112,0.020462,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorACOS","ss",1,10,0.457708,0.143677,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorASIN","ss",1,10,0.461308,0.143825,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorATAN","ss",1,10,0.742514,0.110216,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorATAN2","ss",1,10,0.937179,0.120833,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCBRT","ss",1,10,0.422315,0.144712,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCOS","ss",1,10,0.422660,0.146871,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorCOSH","ss",1,10,0.389991,0.146417,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorEXP","ss",1,10,0.359449,0.139845,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorEXPM1","ss",1,10,0.408438,0.143473,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorHYPOT","ss",1,10,0.481818,0.143663,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG","ss",1,10,0.371505,0.143067,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG10","ss",1,10,0.409731,0.139246,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorLOG1P","ss",1,10,0.427843,0.143070,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL0","ss",1,10,0.236848,0.144804,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL1","ss",1,10,0.236896,0.144246,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorMUL2","ss",1,10,0.237967,0.144060,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW","ss",1,10,1.217433,0.174577,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW0","ss",1,10,0.969624,0.232895,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW1","ss",1,10,1.232457,0.167952,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorPOW2","ss",1,10,0.700040,0.277816,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorSIN","ss",1,10,0.420049,0.143876,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorSINH","ss",1,10,0.463181,0.144253,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorTAN","ss",1,10,0.557491,0.144335,"s/op"
"inf.usi.dag.micro.TranscendentalOperationBenchmark.vectorTANH","ss",1,10,0.538787,0.144754,"s/op"
